08-09-2019,Game day for {{USERNAME}} U18’s against {{USERNAME}} U18’s. Even though it’s a ‘home’ game for the people that have settled in Mid Wales it’s still a 4 hour round trip for us up to Colwyn Bay. Still enjoy it though!,1.17061E+18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,sports,,,,
08-09-2019,"⚽️ This afternoon we have our first League game of the season ⚽️   Sunday 8th September 2019.  ⚽️ {{USERNAME}} Vs {{USERNAME}}  SWRWFL - Northern Division   The Field, Almondsbury, Bristol, BS32 4AA.   2PM   #WeAreBoco #comeandshowyoursupport",1.17061E+18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,sports,,,,
08-09-2019,Might watch the {@Tennessee Titans@} game only to see the {@Cleveland Browns@} tho,1.17067E+18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,sports,,,,
08-09-2019,. {@Asante Kotoko SC@} should have moved for this President s Cup game to be cancelled.   They shouldn t be risking their players safety when they have a continental assignment coming up.  Disgraceful.,1.17073E+18,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,fitness_&_health,news_&_social_concern,sports,,
08-09-2019,Massive WELL DONE to BSLFC Reserves today in their Friendly winning a smashing 15-0.  Goals and assists:  Stacey  @AbiRigler ⚽️⚽️⚽️ Sam ⚽️ Chelsea ⚽️⚽️ Rocket ⚽️ {{USERNAME}} ⚽️ Lauren ⚽️⚽️ Becky ⚽️⚽️ Doxa ⚽️ Kim ⚽️ Debs ⚽️ LEAGUE GAME NEXT WEEK {@Hampshire FA@},1.17079E+18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,sports,,,,
12-09-2019,SOCCER CHANGES TODAY vs {{USERNAME}} JV moved back to 5 today and varsity to 6 30 instead of 4 30 and 6. JV game shortened to 30 min halves running clock and both games mandatory water breaks.,1.17221E+18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,gaming,sports,,,
15-09-2019,WATCH {{USERNAME}} vs {@St Kilda FCW@} on the #VFLW website here: {{URL}} Early lead to the Saints.,1.17305E+18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,sports,,,,
15-09-2019,Keep going armylegend  #PCAs #BoyWithLuv #TheMusicVideo {@BTS_twt@} vs as Bamako nakal speed,1.17311E+18,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,celebrity_&_pop_culture,film_tv_&_video,music,,
15-09-2019,#INDvSA | Coach Ravi Shastri and Shikhar Dhawan bond ahead of 1st T20I - See pic {@Ravi Shastri@} {@Shikhar Dhawan@} {{URL}},1.17311E+18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,news_&_social_concern,sports,,,
15-09-2019,Rohit As An Opener  * IN ODI - Played 1st Match Vs SA (2011) * In Test - Going To Play First Match As Opener Vs SA (2019)* * T20 Debut IN SA * Maiden T20 50 Vs SA * Maiden ODI 50 As An Opener Vs SA  * Maiden T20I 100 Vs SA All D Best Champ {@Rohit Sharma@} #IndvsSA,1.17317E+18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,sports,,,,
