12-04-2020,Jesus Christ Superstar - FULL STAGE SHOW | The Shows Must Go On - Stay H... {{URL}} via {@YouTube@} Not to be missed - take advantage of this wonderful opportunity this Easter Sunday. The production is only being streamed live for 48 hours,1.24939E+18,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,arts_&_culture,celebrity_&_pop_culture,film_tv_&_video,,,
09-02-2020,Trump says it&#39;s &#39;illegal&#39; for Pelosi to tear up his State of the Union address. Exper... {{URL}} via {@Yahoo@},1.22641E+18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,news_&_social_concern,,,,,
05-05-2020,"Sooo, this may be an unpopular opinion, but I just discovered {@Rice A Roni and Pasta Roni@} and I m pissed off that for 35 years I never knew about this before! I need new friends to tell me about this stuff!! I have fake friends… {{URL}} ",1.25782E+18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,food_&_dining,relationships,,,,
24-08-2020,Stephen A. puts out an APB for Paul George - via {@ESPN@} App {{URL}},1.29793E+18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,sports,,,,,
06-10-2020,Chindit  Etonian  Click for Richard s full Dewhurst preview and find out about  piece of work by Chindit alongside two 100 rated five year olds  {{USERNAME}} {@Newmarket Racecourse@},1.31345E+18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,sports,,,,,
27-02-2021,"The shooting, one witness said, “was huge.”36 Another resident, a 21-year-old man, said: “I saw a lot of people dead on the street.Even my uncle s family.Six of his family members were killed. So many people were killed.  #AxumMassacre #TigrayGenocide {@United Nations@} {{URL}} ",1.36575E+18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,news_&_social_concern,,,,,
23-02-2020,#TheBrinkNews | Tyson Fury Defeats Deontay Wilder {{URL}} via {{USERNAME}} #FuryWilder2 #WildervsFury2 #TysonFuryGypsyKing,1.23149E+18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,sports,,,,,
17-08-2020,"COMING UP!! At the beginning of the pandemic, various models predicted a doomsday scenario for Nigeria & other African countries, yet fewer cases than expected have been recorded. For the latest on Nigeria’s response to #COVID19, join DG… {{URL}} VIA {@NCDC@} ",1.2953E+18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,news_&_social_concern,,,,,
07-03-2021,The latest The Movie theater Daily! {{URL}} Thanks to {{USERNAME}} {{USERNAME}} {{USERNAME}} #lunchtimeread #amc1000,1.36846E+18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,film_tv_&_video,,,,,
13-10-2019,#ScholarSunday {{URL}} Insightful #groundedtheory study by {{USERNAME}} {{USERNAME}} scholars offers African American women’s insights into why breast cancer awareness messages don’t have the intended effect. {{USERNAME}} {{USERNAME}} {{USERNAME}},1.18341E+18,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,fitness_&_health,learning_&_educational,news_&_social_concern,,,
