date,text,id,label/0,label/1,label/2,label/3,label/4,label/5,label/6,label/7,label/8,label/9,label/10,label/11,label/12,label/13,label/14,label/15,label/16,label/17,label/18,label_name/0,label_name/1,label_name/2,label_name/3,label_name/4,label_name/5
2019-09-08,"The {@Clinton LumberKings@} beat the {@Cedar Rapids Kernels@} 4-0 in Game 1 of the Western Division finals. Evan Edwards hit a 2-run HR. WP Josh Roberson: 5 IP, 3 H, 0 R, 0 BB, 10 K #MWLplayoffs #MWLscoreboard",1170516324419866600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,sports,,,,,
2019-09-08,Major sidenote of the MSU game: How about the media team making custom graphics for the uniform!? Killing it!   Give em  a follow: {{USERNAME}} {{USERNAME}} {{USERNAME}} {{USERNAME}},1170516407135522800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,sports,,,,,
2019-09-08,I would rather hear Eli Gold announce this Auburn game than these dumbasses. {@ESPN@},1170516440690176000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,sports,,,,,
2019-09-08,"Someone take my phone away, I’m trying to not look at {@Chicago Blackhawks@} home game tickets in October ",1170516543387709400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,sports,,,,,
2019-09-08,"A year ago, Louisville struggled to beat an FCS opponent, ISU.  Yes they won 31-7, but score wasn’t indicative of the game flow.  Today, they are demoralizing a better FCS opponent in EKU. {@Coach Satterfield@} thank you!! {{USERNAME}} , glad you’re gone.",1170516620466430000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,sports,,,,,
2019-09-08,Anyone know why the #Dodgers #Orioles game next Thursday 9/12 is on Fox?? That’s arguably the last game on the entire schedule I’d imagine being on Fox. {@Bill Shaikin@} {@Eric Stephen@} {@David Vassegh@},1170516711411310600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,sports,,,,,
2019-09-08,"I don’t care. you gave him a shot, he is struggling put Joey in and see what he has to offer. This is the game  you decide who you want starting the Mississippi state game. {@Coach Gus Malzahn@} ‍♂️",1170516891053580300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,sports,,,,,
2019-09-08,Okay how can I watch the {@Arkansas State Football@} and UNLV game on FB?,1170516916554936300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,sports,,,,,
2019-09-08,"Check out largest crowds ever for a basketball game! Phil Arena aims to set new attendance record for FIBA World Cup final in 2023, targets over 50,000 & if FIBA allows SRO, 60,000! Incredible! {{URL}} {@The Philippine Star@} {{USERNAME}} {@Philstar Sports Hub@} ",1170516940902805500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,sports,,,,,
2019-09-08,I voted #WeWantNCAAFootball on {{USERNAME}} . It’s the best video game! {{URL}},1170517092489187300,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,gaming,sports,,,,
2019-09-08,Streaming a new game #minionmasters come stop by and join me!! {{USERNAME}} {{USERNAME}} #FearThePack #supportsmallstreamers #SmallStreamersConnect #smallstreamer #twitchaffiliate #twitch #twitchprime #subtember,1170546366566846500,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,gaming,,,,,
2019-09-08,Three unanswered goals by {{USERNAME}} has tied the game for {{USERNAME}} 9-9. #MannCup,1170546386242343000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,sports,,,,,
2019-09-08,Shout out to {{USERNAME}} for giving my 6 year old son his wrist ban after the game. It means the world to him. He is sleeping with it on now and it will go to school on Monday. Made his older brother jealous.,1170546590119014400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,sports,,,,,
2019-09-08,"I have little to no voice left, I’m completely exhausted...and wouldn’t change it for the world. Nothing more exciting as a broadcaster to call a game winning play as time expires. Tonight was my second time calling a GW FG in a monumental {{USERNAME}} win over Georgetown.",1170546918780543000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,sports,,,,,
